"Time","DC","Groundtruth"
2018-07-31 10:35:00,18,35
2018-07-31 10:40:00,18,36
2018-07-31 10:45:00,19,35
2018-07-31 10:50:00,21,35
2018-07-31 10:55:00,22,15
2018-07-31 11:00:00,18,15
2018-07-31 11:05:00,14,16
2018-07-31 11:10:00,15,16
2018-07-31 11:15:00,16,15
2018-07-31 11:20:00,16,17
2018-07-31 11:25:00,15,15
2018-07-31 11:30:00,15,14
2018-07-31 11:35:00,13,15
2018-07-31 11:40:00,14,15
2018-07-31 11:45:00,13,15
2018-07-31 11:50:00,13,15
2018-07-31 11:55:00,16,15
2018-07-31 12:00:00,14,15
2018-07-31 12:05:00,18,15
2018-07-31 12:10:00,17,15
2018-07-31 12:15:00,15,14
2018-07-31 12:20:00,17,14
2018-07-31 12:25:00,17,13
2018-07-31 12:30:00,16,13
2018-07-31 12:35:00,15,14
2018-07-31 12:40:00,15,36
2018-07-31 12:45:00,20,33
2018-07-31 12:50:00,17,34
2018-07-31 12:55:00,19,33
2018-07-31 13:00:00,20,33
2018-07-31 13:05:00,18,33
2018-07-31 13:10:00,19,35
2018-07-31 13:15:00,21,35
2018-07-31 13:20:00,21,31
2018-07-31 13:25:00,18,32
2018-07-31 13:30:00,17,32
2018-07-31 13:35:00,16,32
2018-07-31 13:40:00,16,34
2018-07-31 13:45:00,16,35
2018-07-31 13:50:00,18,36
2018-07-31 13:55:00,20,35
2018-07-31 14:00:00,20,36
2018-07-31 14:05:00,22,36
2018-07-31 14:10:00,20,34
2018-07-31 14:15:00,18,37
2018-07-31 14:20:00,19,12
2018-07-31 14:25:00,19,34
2018-07-31 14:30:00,19,32
2018-07-31 14:35:00,20,33
2018-07-31 14:40:00,22,37
2018-07-31 14:45:00,22,12
2018-07-31 14:50:00,30,34
2018-07-31 14:55:00,22,32
2018-07-31 15:00:00,26,33
2018-07-31 15:05:00,26,33
2018-07-31 15:10:00,23,33
2018-07-31 15:15:00,25,33
2018-07-31 15:20:00,26,32
2018-07-31 15:25:00,26,31
2018-07-31 15:30:00,25,31
2018-07-31 15:35:00,24,32
2018-07-31 15:40:00,23,34
2018-07-31 15:45:00,25,33
2018-07-31 15:50:00,26,34
2018-07-31 15:55:00,29,35
2018-07-31 16:00:00,26,27
2018-07-31 16:05:00,26,12
2018-07-31 16:10:00,25,11
2018-07-31 16:15:00,21,12
2018-07-31 16:20:00,20,11
2018-07-31 16:25:00,20,10
2018-07-31 16:30:00,21,10
2018-07-31 16:35:00,17,7
2018-07-31 16:40:00,14,8
2018-07-31 16:45:00,13,6
2018-07-31 16:50:00,19,5
2018-07-31 16:55:00,13,5
2018-07-31 17:00:00,13,7
2018-07-31 17:05:00,12,7
2018-07-31 17:10:00,12,7
2018-07-31 17:15:00,15,7
2018-07-31 17:20:00,15,7
2018-07-31 17:25:00,14,5
2018-07-31 17:30:00,14,5
2018-07-31 17:35:00,14,6
2018-07-31 17:40:00,16,3
2018-07-31 17:45:00,15,3
2018-07-31 17:50:00,12,2
2018-07-31 17:55:00,11,2
2018-07-31 18:00:00,12,1
2018-07-31 18:05:00,7,1
2018-07-31 18:10:00,7,1
2018-07-31 18:15:00,7,0
2018-07-31 18:20:00,8,0
2018-07-31 18:25:00,6,2
2018-07-31 18:30:00,6,2
2018-07-31 18:35:00,9,2
2018-07-31 18:40:00,8,2
2018-07-31 18:45:00,8,2
2018-07-31 18:50:00,8,3
2018-07-31 18:55:00,8,2
2018-07-31 19:00:00,9,2
2018-07-31 19:05:00,9,2
2018-07-31 19:10:00,9,1
2018-07-31 19:15:00,9,1
2018-07-31 19:20:00,8,1
2018-07-31 19:25:00,8,1
2018-07-31 19:30:00,8,1
2018-07-31 19:35:00,8,1
2018-07-31 19:40:00,8,1
2018-07-31 19:45:00,8,1
2018-07-31 19:50:00,8,1
2018-07-31 19:55:00,8,1
2018-07-31 20:00:00,8,1
2018-07-31 20:05:00,9,1
2018-07-31 20:10:00,9,1
2018-07-31 20:15:00,8,1
2018-07-31 20:20:00,7,0
2018-07-31 20:25:00,6,0
2018-07-31 20:30:00,6,0
2018-07-31 20:35:00,7,0
2018-07-31 20:40:00,7,0
2018-07-31 20:45:00,7,0
2018-07-31 20:50:00,7,0
2018-07-31 20:55:00,7,1
